"Label (Grouping)","Philadelphia County, Pennsylvania!!Total!!Estimate","Philadelphia County, Pennsylvania!!Total!!Margin of Error","Philadelphia County, Pennsylvania!!Percent!!Estimate","Philadelphia County, Pennsylvania!!Percent!!Margin of Error","Philadelphia County, Pennsylvania!!Male!!Estimate","Philadelphia County, Pennsylvania!!Male!!Margin of Error","Philadelphia County, Pennsylvania!!Percent Male!!Estimate","Philadelphia County, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia County, Pennsylvania!!Female!!Estimate","Philadelphia County, Pennsylvania!!Female!!Margin of Error","Philadelphia County, Pennsylvania!!Percent Female!!Estimate","Philadelphia County, Pennsylvania!!Percent Female!!Margin of Error","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Percent!!Estimate","Philadelphia city, Pennsylvania!!Percent!!Margin of Error","Philadelphia city, Pennsylvania!!Male!!Estimate","Philadelphia city, Pennsylvania!!Male!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Male!!Estimate","Philadelphia city, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia city, Pennsylvania!!Female!!Estimate","Philadelphia city, Pennsylvania!!Female!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Female!!Estimate","Philadelphia city, Pennsylvania!!Percent Female!!Margin of Error"
"        15 to 17 years","53,378","±4","3.4%","±0.1","26,924","±35","3.6%","±0.1","26,454","±35","3.2%","±0.1","53,378","±4","3.4%","±0.1","26,924","±35","3.6%","±0.1","26,454","±35","3.2%","±0.1"
"        Under 18 years","334,799","±53","21.2%","±0.1","170,100","±61","22.8%","±0.1","164,699","±85","19.8%","±0.1","334,799","±53","21.2%","±0.1","170,100","±61","22.8%","±0.1","164,699","±85","19.8%","±0.1"
"        18 to 24 years","155,837","±96","9.9%","±0.1","75,529","±86","10.1%","±0.1","80,308","±60","9.6%","±0.1","155,837","±96","9.9%","±0.1","75,529","±86","10.1%","±0.1","80,308","±60","9.6%","±0.1"
"        15 to 44 years","718,224","±104","45.5%","±0.1","346,515","±66","46.4%","±0.1","371,709","±98","44.7%","±0.1","718,224","±104","45.5%","±0.1","346,515","±66","46.4%","±0.1","371,709","±98","44.7%","±0.1"
"        16 years and over","1,279,069","±1,136","81.0%","±0.1","594,346","±773","79.5%","±0.1","684,723","±833","82.3%","±0.1","1,279,069","±1,136","81.0%","±0.1","594,346","±773","79.5%","±0.1","684,723","±833","82.3%","±0.1"
"        18 years and over","1,244,907","±54","78.8%","±0.1","577,286","±69","77.2%","±0.1","667,621","±42","80.2%","±0.1","1,244,907","±54","78.8%","±0.1","577,286","±69","77.2%","±0.1","667,621","±42","80.2%","±0.1"
"        21 years and over","1,174,351","±1,453","74.3%","±0.1","542,782","±981","72.6%","±0.1","631,569","±1,056","75.9%","±0.1","1,174,351","±1,453","74.3%","±0.1","542,782","±981","72.6%","±0.1","631,569","±1,056","75.9%","±0.1"
"        60 years and over","322,258","±2,033","20.4%","±0.1","136,520","±1,207","18.3%","±0.2","185,738","±1,677","22.3%","±0.2","322,258","±2,033","20.4%","±0.1","136,520","±1,207","18.3%","±0.2","185,738","±1,677","22.3%","±0.2"
"        62 years and over","286,012","±1,895","18.1%","±0.1","119,991","±1,046","16.1%","±0.1","166,021","±1,540","19.9%","±0.2","286,012","±1,895","18.1%","±0.1","119,991","±1,046","16.1%","±0.1","166,021","±1,540","19.9%","±0.2"
"        65 years and over","232,118","±25","14.7%","±0.1","95,349","±17","12.8%","±0.1","136,769","±26","16.4%","±0.1","232,118","±25","14.7%","±0.1","95,349","±17","12.8%","±0.1","136,769","±26","16.4%","±0.1"
"        75 years and over","92,865","±76","5.9%","±0.1","34,714","±75","4.6%","±0.1","58,151","±26","7.0%","±0.1","92,865","±76","5.9%","±0.1","34,714","±75","4.6%","±0.1","58,151","±26","7.0%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median age (years)","35.3","±0.1","(X)","(X)","34.2","±0.2","(X)","(X)","36.4","±0.1","(X)","(X)","35.3","±0.1","(X)","(X)","34.2","±0.2","(X)","(X)","36.4","±0.1","(X)","(X)"
"        Sex ratio (males per 100 females)","89.8","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","89.8","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","56.0","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","56.0","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","22.9","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.9","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","33.1","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.1","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
