"Label (Grouping)","Berkeley city, California!!Total!!Estimate","Berkeley city, California!!Total!!Margin of Error","Berkeley city, California!!Percent!!Estimate","Berkeley city, California!!Percent!!Margin of Error","Berkeley city, California!!Male!!Estimate","Berkeley city, California!!Male!!Margin of Error","Berkeley city, California!!Percent Male!!Estimate","Berkeley city, California!!Percent Male!!Margin of Error","Berkeley city, California!!Female!!Estimate","Berkeley city, California!!Female!!Margin of Error","Berkeley city, California!!Percent Female!!Estimate","Berkeley city, California!!Percent Female!!Margin of Error","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Percent!!Estimate","Philadelphia city, Pennsylvania!!Percent!!Margin of Error","Philadelphia city, Pennsylvania!!Male!!Estimate","Philadelphia city, Pennsylvania!!Male!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Male!!Estimate","Philadelphia city, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia city, Pennsylvania!!Female!!Estimate","Philadelphia city, Pennsylvania!!Female!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Female!!Estimate","Philadelphia city, Pennsylvania!!Percent Female!!Margin of Error"
"        Under 18 years","15,238","±713","12.7%","±0.6","7,667","±512","13.3%","±0.8","7,571","±679","12.1%","±1.0","334,799","±53","21.2%","±0.1","170,100","±61","22.8%","±0.1","164,699","±85","19.8%","±0.1"
"        18 to 24 years","29,172","±1,172","24.3%","±1.0","13,234","±822","22.9%","±1.3","15,938","±1,054","25.5%","±1.5","155,837","±96","9.9%","±0.1","75,529","±86","10.1%","±0.1","80,308","±60","9.6%","±0.1"
"        15 to 44 years","64,542","±1,172","53.7%","±1.0","31,050","±1,080","53.7%","±1.4","33,492","±1,186","53.6%","±1.3","718,224","±104","45.5%","±0.1","346,515","±66","46.4%","±0.1","371,709","±98","44.7%","±0.1"
"        16 years and over","107,066","±606","89.0%","±0.5","51,192","±1,034","88.6%","±0.7","55,874","±1,099","89.5%","±0.9","1,279,069","±1,136","81.0%","±0.1","594,346","±773","79.5%","±0.1","684,723","±833","82.3%","±0.1"
"        18 years and over","105,019","±710","87.3%","±0.6","50,140","±1,016","86.7%","±0.8","54,879","±1,126","87.9%","±1.0","1,244,907","±54","78.8%","±0.1","577,286","±69","77.2%","±0.1","667,621","±42","80.2%","±0.1"
"        21 years and over","89,361","±1,074","74.3%","±0.9","43,146","±999","74.6%","±1.1","46,215","±1,000","74.0%","±1.4","1,174,351","±1,453","74.3%","±0.1","542,782","±981","72.6%","±0.1","631,569","±1,056","75.9%","±0.1"
"        60 years and over","25,578","±1,083","21.3%","±0.9","11,685","±752","20.2%","±1.2","13,893","±668","22.2%","±1.2","322,258","±2,033","20.4%","±0.1","136,520","±1,207","18.3%","±0.2","185,738","±1,677","22.3%","±0.2"
"        62 years and over","23,420","±997","19.5%","±0.8","10,709","±728","18.5%","±1.2","12,711","±632","20.4%","±1.1","286,012","±1,895","18.1%","±0.1","119,991","±1,046","16.1%","±0.1","166,021","±1,540","19.9%","±0.2"
"        65 years and over","20,100","±960","16.7%","±0.8","8,923","±663","15.4%","±1.1","11,177","±602","17.9%","±1.0","232,118","±25","14.7%","±0.1","95,349","±17","12.8%","±0.1","136,769","±26","16.4%","±0.1"
"        75 years and over","8,539","±676","7.1%","±0.6","3,626","±424","6.3%","±0.7","4,913","±408","7.9%","±0.7","92,865","±76","5.9%","±0.1","34,714","±75","4.6%","±0.1","58,151","±26","7.0%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median age (years)","33.2","±0.7","(X)","(X)","33.3","±0.9","(X)","(X)","32.9","±1.0","(X)","(X)","35.3","±0.1","(X)","(X)","34.2","±0.2","(X)","(X)","36.4","±0.1","(X)","(X)"
"        Sex ratio (males per 100 females)","92.6","±3.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","89.8","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","41.6","±1.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","56.0","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","23.7","±1.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.9","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","17.9","±1.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.1","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
