"Label (Grouping)","Berkeley city, California!!Total!!Estimate","Berkeley city, California!!Total!!Margin of Error","Berkeley city, California!!Percent!!Estimate","Berkeley city, California!!Percent!!Margin of Error","Berkeley city, California!!Male!!Estimate","Berkeley city, California!!Male!!Margin of Error","Berkeley city, California!!Percent Male!!Estimate","Berkeley city, California!!Percent Male!!Margin of Error","Berkeley city, California!!Female!!Estimate","Berkeley city, California!!Female!!Margin of Error","Berkeley city, California!!Percent Female!!Estimate","Berkeley city, California!!Percent Female!!Margin of Error","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Percent!!Estimate","Philadelphia city, Pennsylvania!!Percent!!Margin of Error","Philadelphia city, Pennsylvania!!Male!!Estimate","Philadelphia city, Pennsylvania!!Male!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Male!!Estimate","Philadelphia city, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia city, Pennsylvania!!Female!!Estimate","Philadelphia city, Pennsylvania!!Female!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Female!!Estimate","Philadelphia city, Pennsylvania!!Percent Female!!Margin of Error"
"    Population 45 to 64 years","23,153","±878","(X)","(X)","11,518","±578","(X)","(X)","11,635","±560","(X)","(X)","347,943","±84","(X)","(X)","162,346","±38","(X)","(X)","185,597","±79","(X)","(X)"
"        High school graduate or higher","21,887","±892","94.5%","±1.2","10,924","±582","94.8%","±1.6","10,963","±592","94.2%","±2.0","296,703","±2,381","85.3%","±0.7","137,265","±1,660","84.6%","±1.0","159,438","±1,373","85.9%","±0.7"
"        Bachelor's degree or higher","16,644","±760","71.9%","±2.1","7,974","±497","69.2%","±3.5","8,670","±499","74.5%","±3.1","89,535","±2,500","25.7%","±0.7","40,588","±1,610","25.0%","±1.0","48,947","±1,728","26.4%","±0.9"
"    Population 65 years and over","20,100","±960","(X)","(X)","8,923","±663","(X)","(X)","11,177","±602","(X)","(X)","232,118","±25","(X)","(X)","95,349","±17","(X)","(X)","136,769","±26","(X)","(X)"
"        High school graduate or higher","19,206","±927","95.6%","±1.1","8,523","±644","95.5%","±1.6","10,683","±605","95.6%","±1.4","186,409","±1,971","80.3%","±0.8","76,020","±1,252","79.7%","±1.3","110,389","±1,435","80.7%","±1.0"
"        Bachelor's degree or higher","14,138","±729","70.3%","±3.1","6,414","±456","71.9%","±3.8","7,724","±499","69.1%","±3.6","55,228","±2,048","23.8%","±0.9","24,760","±1,221","26.0%","±1.3","30,468","±1,416","22.3%","±1.0"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","45,014","±1,227","(X)","(X)","22,462","±754","(X)","(X)","22,552","±910","(X)","(X)","424,932","±2,082","(X)","(X)","205,884","±1,465","(X)","(X)","219,048","±1,168","(X)","(X)"
"        High school graduate or higher","44,427","±1,226","98.7%","±0.4","22,055","±735","98.2%","±0.7","22,372","±905","99.2%","±0.4","399,396","±2,720","94.0%","±0.5","193,034","±1,788","93.8%","±0.6","206,362","±1,571","94.2%","±0.5"
"        Bachelor's degree or higher","37,531","±1,083","83.4%","±1.5","18,149","±634","80.8%","±2.3","19,382","±853","85.9%","±2.0","220,560","±3,549","51.9%","±0.8","104,734","±2,079","50.9%","±0.9","115,826","±2,212","52.9%","±0.9"
"    White alone, not Hispanic or Latino","43,979","±1,232","(X)","(X)","21,972","±756","(X)","(X)","22,007","±909","(X)","(X)","408,037","±1,418","(X)","(X)","198,129","±786","(X)","(X)","209,908","±861","(X)","(X)"
"        High school graduate or higher","43,436","±1,216","98.8%","±0.4","21,592","±735","98.3%","±0.7","21,844","±901","99.3%","±0.4","384,701","±2,300","94.3%","±0.4","186,394","±1,505","94.1%","±0.6","198,307","±1,306","94.5%","±0.5"
"        Bachelor's degree or higher","36,821","±1,053","83.7%","±1.6","17,804","±618","81.0%","±2.3","19,017","±864","86.4%","±2.0","215,077","±3,465","52.7%","±0.8","102,341","±2,019","51.7%","±1.0","112,736","±2,131","53.7%","±1.0"
"    Black alone","6,946","±802","(X)","(X)","3,384","±471","(X)","(X)","3,562","±567","(X)","(X)","418,056","±2,137","(X)","(X)","180,719","±1,571","(X)","(X)","237,337","±1,525","(X)","(X)"
"        High school graduate or higher","6,342","±725","91.3%","±2.9","3,073","±454","90.8%","±4.7","3,269","±529","91.8%","±3.9","370,853","±3,094","88.7%","±0.5","158,812","±2,119","87.9%","±0.9","212,041","±2,007","89.3%","±0.6"
"        Bachelor's degree or higher","2,327","±415","33.5%","±6.4","1,118","±275","33.0%","±8.7","1,209","±279","33.9%","±7.6","89,050","±3,125","21.3%","±0.7","35,026","±2,063","19.4%","±1.1","54,024","±2,251","22.8%","±0.9"
"    American Indian or Alaska Native alone","529","±339","(X)","(X)","308","±227","(X)","(X)","221","±126","(X)","(X)","3,710","±807","(X)","(X)","1,462","±390","(X)","(X)","2,248","±514","(X)","(X)"
"        High school graduate or higher","327","±138","61.8%","±22.5","235","±126","76.3%","±22.8","92","±62","41.6%","±30.9","2,408","±536","64.9%","±6.8","896","±229","61.3%","±10.2","1,512","±440","67.3%","±9.7"
"        Bachelor's degree or higher","148","±63","28.0%","±22.4","103","±45","33.4%","±28.7","45","±40","20.4%","±21.2","441","±132","11.9%","±3.8","171","±88","11.7%","±6.2","270","±84","12.0%","±4.4"
"    Asian alone","12,776","±969","(X)","(X)","5,803","±576","(X)","(X)","6,973","±657","(X)","(X)","88,891","±775","(X)","(X)","41,330","±445","(X)","(X)","47,561","±499","(X)","(X)"
"        High school graduate or higher","12,057","±908","94.4%","±1.4","5,458","±565","94.1%","±2.0","6,599","±609","94.6%","±2.0","65,519","±1,559","73.7%","±1.6","30,731","±920","74.4%","±2.2","34,788","±1,046","73.1%","±1.9"
"        Bachelor's degree or higher","9,995","±834","78.2%","±3.2","4,395","±543","75.7%","±4.7","5,600","±565","80.3%","±3.9","37,324","±1,152","42.0%","±1.2","17,250","±784","41.7%","±1.9","20,074","±863","42.2%","±1.7"
"    Native Hawaiian and Other Pacific Islander alone","127","±81","(X)","(X)","55","±52","(X)","(X)","72","±47","(X)","(X)","553","±307","(X)","(X)","226","±148","(X)","(X)","327","±268","(X)","(X)"
"        High school graduate or higher","114","±70","89.8%","±14.6","42","±46","76.4%","±40.1","72","±47","100.0%","±40.0","439","±289","79.4%","±21.6","153","±97","67.7%","±37.6","286","±268","87.5%","±17.3"
"        Bachelor's degree or higher","65","±57","51.2%","±22.8","37","±42","67.3%","±38.7","28","±33","38.9%","±33.4","199","±156","36.0%","±15.1","41","±46","18.1%","±19.7","158","±145","48.3%","±15.2"
"    Some other race alone","3,280","±634","(X)","(X)","1,784","±512","(X)","(X)","1,496","±250","(X)","(X)","79,087","±3,009","(X)","(X)","36,889","±1,623","(X)","(X)","42,198","±1,906","(X)","(X)"
"        High school graduate or higher","2,735","±568","83.4%","±5.7","1,491","±448","83.6%","±6.1","1,244","±255","83.2%","±8.0","53,811","±2,654","68.0%","±2.4","24,627","±1,509","66.8%","±2.9","29,184","±1,734","69.2%","±2.8"
"        Bachelor's degree or higher","1,754","±466","53.5%","±8.7","907","±394","50.8%","±11.5","847","±202","56.6%","±10.4","11,724","±1,145","14.8%","±1.5","5,535","±759","15.0%","±2.1","6,189","±893","14.7%","±2.1"
"    Two or more races","7,175","±694","(X)","(X)","3,110","±352","(X)","(X)","4,065","±542","(X)","(X)","73,841","±3,148","(X)","(X)","35,247","±2,056","(X)","(X)","38,594","±1,957","(X)","(X)"
"        High school graduate or higher","6,675","±640","93.0%","±2.1","2,864","±340","92.1%","±2.5","3,811","±507","93.8%","±2.7","63,481","±2,845","86.0%","±2.0","29,588","±1,769","83.9%","±2.5","33,893","±1,973","87.8%","±2.0"
"        Bachelor's degree or higher","4,974","±563","69.3%","±3.4","1,973","±285","63.4%","±5.4","3,001","±471","73.8%","±4.6","26,219","±1,716","35.5%","±2.0","11,238","±1,113","31.9%","±2.8","14,981","±1,262","38.8%","±2.6"
"    Hispanic or Latino Origin","7,000","±634","(X)","(X)","3,276","±424","(X)","(X)","3,724","±420","(X)","(X)","138,478","*****","(X)","(X)","66,230","*****","(X)","(X)","72,248","*****","(X)","(X)"
"        High school graduate or higher","5,781","±532","82.6%","±4.0","2,683","±342","81.9%","±4.9","3,098","±395","83.2%","±4.7","102,817","±2,351","74.2%","±1.7","48,034","±1,411","72.5%","±2.1","54,783","±1,350","75.8%","±1.9"
"        Bachelor's degree or higher","3,639","±395","52.0%","±5.3","1,553","±229","47.4%","±6.3","2,086","±310","56.0%","±6.2","29,462","±1,822","21.3%","±1.3","13,173","±1,163","19.9%","±1.8","16,289","±1,227","22.5%","±1.7"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
