"Label (Grouping)","Philadelphia County, Pennsylvania!!Total!!Estimate","Philadelphia County, Pennsylvania!!Total!!Margin of Error","Philadelphia County, Pennsylvania!!Percent!!Estimate","Philadelphia County, Pennsylvania!!Percent!!Margin of Error","Philadelphia County, Pennsylvania!!Male!!Estimate","Philadelphia County, Pennsylvania!!Male!!Margin of Error","Philadelphia County, Pennsylvania!!Percent Male!!Estimate","Philadelphia County, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia County, Pennsylvania!!Female!!Estimate","Philadelphia County, Pennsylvania!!Female!!Margin of Error","Philadelphia County, Pennsylvania!!Percent Female!!Estimate","Philadelphia County, Pennsylvania!!Percent Female!!Margin of Error","Philadelphia city, Pennsylvania!!Total!!Estimate","Philadelphia city, Pennsylvania!!Total!!Margin of Error","Philadelphia city, Pennsylvania!!Percent!!Estimate","Philadelphia city, Pennsylvania!!Percent!!Margin of Error","Philadelphia city, Pennsylvania!!Male!!Estimate","Philadelphia city, Pennsylvania!!Male!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Male!!Estimate","Philadelphia city, Pennsylvania!!Percent Male!!Margin of Error","Philadelphia city, Pennsylvania!!Female!!Estimate","Philadelphia city, Pennsylvania!!Female!!Margin of Error","Philadelphia city, Pennsylvania!!Percent Female!!Estimate","Philadelphia city, Pennsylvania!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","88,241","±2,190","40.7%","±1.0","39,524","±1,620","38.1%","±1.6","48,717","±1,689","43.2%","±1.5","88,241","±2,190","40.7%","±1.0","39,524","±1,620","38.1%","±1.6","48,717","±1,689","43.2%","±1.5"
"    Population 45 to 64 years","347,943","±84","(X)","(X)","162,346","±38","(X)","(X)","185,597","±79","(X)","(X)","347,943","±84","(X)","(X)","162,346","±38","(X)","(X)","185,597","±79","(X)","(X)"
"        High school graduate or higher","296,703","±2,381","85.3%","±0.7","137,265","±1,660","84.6%","±1.0","159,438","±1,373","85.9%","±0.7","296,703","±2,381","85.3%","±0.7","137,265","±1,660","84.6%","±1.0","159,438","±1,373","85.9%","±0.7"
"        Bachelor's degree or higher","89,535","±2,500","25.7%","±0.7","40,588","±1,610","25.0%","±1.0","48,947","±1,728","26.4%","±0.9","89,535","±2,500","25.7%","±0.7","40,588","±1,610","25.0%","±1.0","48,947","±1,728","26.4%","±0.9"
"    Population 65 years and over","232,118","±25","(X)","(X)","95,349","±17","(X)","(X)","136,769","±26","(X)","(X)","232,118","±25","(X)","(X)","95,349","±17","(X)","(X)","136,769","±26","(X)","(X)"
"        High school graduate or higher","186,409","±1,971","80.3%","±0.8","76,020","±1,252","79.7%","±1.3","110,389","±1,435","80.7%","±1.0","186,409","±1,971","80.3%","±0.8","76,020","±1,252","79.7%","±1.3","110,389","±1,435","80.7%","±1.0"
"        Bachelor's degree or higher","55,228","±2,048","23.8%","±0.9","24,760","±1,221","26.0%","±1.3","30,468","±1,416","22.3%","±1.0","55,228","±2,048","23.8%","±0.9","24,760","±1,221","26.0%","±1.3","30,468","±1,416","22.3%","±1.0"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","424,932","±2,082","(X)","(X)","205,884","±1,465","(X)","(X)","219,048","±1,168","(X)","(X)","424,932","±2,082","(X)","(X)","205,884","±1,465","(X)","(X)","219,048","±1,168","(X)","(X)"
"        High school graduate or higher","399,396","±2,720","94.0%","±0.5","193,034","±1,788","93.8%","±0.6","206,362","±1,571","94.2%","±0.5","399,396","±2,720","94.0%","±0.5","193,034","±1,788","93.8%","±0.6","206,362","±1,571","94.2%","±0.5"
"        Bachelor's degree or higher","220,560","±3,549","51.9%","±0.8","104,734","±2,079","50.9%","±0.9","115,826","±2,212","52.9%","±0.9","220,560","±3,549","51.9%","±0.8","104,734","±2,079","50.9%","±0.9","115,826","±2,212","52.9%","±0.9"
"    White alone, not Hispanic or Latino","408,037","±1,418","(X)","(X)","198,129","±786","(X)","(X)","209,908","±861","(X)","(X)","408,037","±1,418","(X)","(X)","198,129","±786","(X)","(X)","209,908","±861","(X)","(X)"
"        High school graduate or higher","384,701","±2,300","94.3%","±0.4","186,394","±1,505","94.1%","±0.6","198,307","±1,306","94.5%","±0.5","384,701","±2,300","94.3%","±0.4","186,394","±1,505","94.1%","±0.6","198,307","±1,306","94.5%","±0.5"
"        Bachelor's degree or higher","215,077","±3,465","52.7%","±0.8","102,341","±2,019","51.7%","±1.0","112,736","±2,131","53.7%","±1.0","215,077","±3,465","52.7%","±0.8","102,341","±2,019","51.7%","±1.0","112,736","±2,131","53.7%","±1.0"
"    Black alone","418,056","±2,137","(X)","(X)","180,719","±1,571","(X)","(X)","237,337","±1,525","(X)","(X)","418,056","±2,137","(X)","(X)","180,719","±1,571","(X)","(X)","237,337","±1,525","(X)","(X)"
"        High school graduate or higher","370,853","±3,094","88.7%","±0.5","158,812","±2,119","87.9%","±0.9","212,041","±2,007","89.3%","±0.6","370,853","±3,094","88.7%","±0.5","158,812","±2,119","87.9%","±0.9","212,041","±2,007","89.3%","±0.6"
"        Bachelor's degree or higher","89,050","±3,125","21.3%","±0.7","35,026","±2,063","19.4%","±1.1","54,024","±2,251","22.8%","±0.9","89,050","±3,125","21.3%","±0.7","35,026","±2,063","19.4%","±1.1","54,024","±2,251","22.8%","±0.9"
"    American Indian or Alaska Native alone","3,710","±807","(X)","(X)","1,462","±390","(X)","(X)","2,248","±514","(X)","(X)","3,710","±807","(X)","(X)","1,462","±390","(X)","(X)","2,248","±514","(X)","(X)"
