school,city,state,year,total_enrollment,undergrad_enrollment,graduate_enrollment,school_type,setting,source
University of California-Berkeley,Berkeley,CA,2024,45700,33000,12700,Public,Urban,IPEDS
University of Pennsylvania,Philadelphia,PA,2024,28000,11000,17000,Private,Urban,IPEDS
University of Michigan-Ann Arbor,Ann Arbor,MI,2024,51000,33000,18000,Public,College Town,IPEDS
Wesleyan University,Middletown,CT,2024,3600,3000,600,Private,Small Town,IPEDS
